,ctx_dhs,ctx_footprint_no,ctx_sox2no,ctx_sox2score,hox,lhx,log2fc,maxcons,meancons,sc_dhs,sc_footprint_no,sc_sox2no,sc_sox2score
ENSMUSG00000022247,2311.126851801991,0.0,0.5371265767417441,18.786019534513063,0.0,1.125802964200147,-0.0284879440137139,20.71680877485027,0.9480292993068713,1978.207337977579,0.0,0.9798092848828001,26.232495890843325
ENSMUSG00000022248,2384.6778018737896,0.0,0.5745963404225862,20.096525740949268,0.0,1.204338588476384,0.00256821309189756,21.675040532372783,0.988196338026928,2058.365669134544,0.0,1.048160440730569,28.06246570494389
ENSMUSG00000022249,2332.1904752370588,0.0,0.6252626350884848,21.868581048859696,0.0,1.310533789365377,0.385938245231908,22.044927607355945,1.0103022209664005,2051.1050447410994,0.0,1.1405842903292907,30.536935269808644
ENSMUSG00000022253,2718.1676996596198,0.0,0.4262767488137259,21.259225533773666,0.0,0.7393473969522377,0.136900034396952,21.734813210466108,1.7923051694872991,2512.575243385651,0.0,0.29621612389090685,10.938146674054003
ENSMUSG00000022255,2035.9528990462006,0.0,0.0,0.0,0.17509755556683948,1.4787913738070526,0.0780524259124707,9.866226332009,1.2092989710449846,1584.7868857194987,0.0,0.0,0.0
ENSMUSG00000022257,1958.1794982563858,0.0,0.0,0.0,0.4446712650661164,0.8575296472792053,0.036635486897458,13.145086553929932,1.2652439719471886,1578.1942986287515,0.0,0.0,0.0
ENSMUSG00000022261,730.0780242802846,0.0,0.12205079114813784,5.492285601666203,0.7553017052145885,0.48820316459255136,0.471100567961619,10.481161253764657,1.6282131958053823,751.2028253448145,0.0,0.0,0.0
ENSMUSG00000022262,2212.0604108486214,0.0,1.279532895070619,55.07584292601,0.9152756520545577,1.829350600986823,-1.63820994821369,16.971292317656285,0.9518902906551466,2175.311991809043,0.0,0.9943520102064684,79.05098481141424
ENSMUSG00000022263,3722.783795303418,0.0,1.494743403110975,35.9696496416663,0.2712314664960227,3.553513587636621,-0.409345413612213,36.856451036350784,2.6964049052609123,2587.287191116475,0.0,0.058985478056978465,4.689345505529788
ENSMUSG00000022265,2180.0350382381325,0.0,0.77944589850695,11.06948931387954,0.9929450041553939,2.86103230825465,0.952433425747001,22.67387443004429,1.0711167477316232,1776.1183281853557,0.0,0.0,0.0
ENSMUSG00000022269,616.1495874109229,0.0,0.2601424274678153,11.446266808583873,0.15080374341643082,0.2601424274678153,-0.3090505756956,8.373763779273624,0.8248474923298648,335.2067096990819,0.0,0.0,0.0
ENSMUSG00000022270,3217.801706584937,0.0,1.5589951061686298,136.2993650505627,2.5152940813320344,1.6394012539199478,0.447767307175389,36.97583272881031,2.1433223321841184,3216.6781547042597,1.609876502009822,1.87725832975494,75.69092166858624
ENSMUSG00000022272,4010.6139204758947,0.0,2.0213145102855075,107.65542813918262,1.2724438338259498,5.216830349096145,0.466838159220887,33.60907196244677,1.8490179937947504,3701.9971721918846,5.958563742463243,1.5037533960918856,54.3774363519009
ENSMUSG00000022280,3088.3504335922817,0.0,0.6184630003452163,8.171705504569692,0.9199208803808904,2.922364649258852,0.481164504643477,26.536175454081064,1.6728815244781012,1895.5457443922437,0.0,0.05561946772895369,1.0289601529856431
ENSMUSG00000022283,4792.632279034329,0.0,0.30794071447717025,4.927051431634724,0.183861631745305,3.3163442239179157,-0.257446276407543,24.407275688903113,1.4749913114201658,3645.6912293485925,0.0,0.0,0.0
ENSMUSG00000022285,5291.54302387878,0.0,0.9433530437052479,14.622722072773964,0.35347023430693547,3.5738524299526353,0.0430508509925763,22.901990775915984,1.3445405421774081,4448.358378905941,0.0,0.0,0.0
